"","X","trans_date_trans_time","merchant","category","amt","gender","city","state","city_pop","job","dob","is_fraud","logamt"
"12",47542,"2019-01-28 21:38:02","fraud_Wisozk and Sons","misc_pos",82.08,"M","Arnold","MO",35439,"Land/geomatics surveyor","1985-03-31",0,4.40769438142246
"13",489964,"2019-08-02 12:51:42","fraud_Renner Ltd","home",25.77,"F","Surrency","GA",1324,"Engineer, technical sales","1926-07-12",0,3.24921102466427
"14",1165916,"2020-05-01 19:15:09","fraud_Upton PLC","entertainment",17.74,"M","Ruckersville","VA",9815,"Designer, ceramics/pottery","1975-07-07",0,2.87582197688143
"15",223751,"2019-04-22 22:33:29","fraud_Welch, Rath and Koepp","entertainment",182.24,"F","Holcomb","KS",2691,"Arboriculturist","1993-08-16",0,5.20532449969887
"16",544651,"2019-08-21 09:02:09","fraud_Schmeler Inc","misc_pos",35.48,"M","Dumont","CO",565,"Mental health nurse","1978-08-27",0,3.56896915744138
"17",692102,"2019-10-21 22:50:21","fraud_Kautzer and Sons","personal_care",2.7,"F","Surrency","GA",1324,"Engineer, technical sales","1926-07-12",0,0.993251773010283
"18",805486,"2019-12-05 19:59:10","fraud_Lynch-Mohr","travel",2.03,"F","Enola","AR",969,"Physicist, medical","1954-01-05",0,0.708035793053696
"19",730060,"2019-11-08 12:41:54","fraud_Skiles LLC","home",102.82,"M","Brainard","NE",614,"Associate Professor","1967-06-20",0,4.63297988662736
"20",205840,"2019-04-15 08:29:51","fraud_Doyle Ltd","grocery_pos",153.89,"M","Boulder","MT",1939,"Patent attorney","1967-01-12",0,5.03623806147576
"21",81244,"2019-02-17 21:11:18","fraud_Boyer PLC","misc_pos",1.47,"M","Monmouth Beach","NJ",3279,"Health promotion specialist","1978-10-05",0,0.385262400790645
"22",528660,"2019-08-15 22:57:22","fraud_Schuppe-Schuppe","food_dining",61.98,"F","Issaquah","WA",50489,"Osteopath","1984-02-29",0,4.1268117523596
"23",972781,"2020-01-28 19:37:07","fraud_Thiel-Thiel","entertainment",7.2,"M","Coffeeville","MS",3451,"Financial trader","1984-05-19",0,1.97408102602201
"24",1016522,"2020-02-23 17:38:37","fraud_Koss, Hansen and Lueilwitz","home",127.78,"F","Sebring","FL",50835,"Environmental consultant","1986-01-30",0,4.8503100351742
"25",389829,"2019-06-27 19:06:32","fraud_Kilback LLC","food_dining",42.86,"M","Deadwood","SD",1979,"Multimedia programmer","1970-03-13",0,3.75793899004543
"26",1175307,"2020-05-05 13:08:42","fraud_Wiza LLC","misc_pos",2.49,"F","Bradley","SC",1523,"Research scientist (physical sciences)","1984-06-03",0,0.912282710476616
"27",214003,"2019-04-19 14:24:48","fraud_Schuppe-Schuppe","food_dining",72.5,"F","Burlington","WA",14871,"Public house manager","1974-03-10",0,4.28358656186063
"28",48548,"2019-01-29 09:09:50","fraud_Reichert, Rowe and Mraz","shopping_net",86.94,"M","Kissee Mills","MO",1201,"Engineer, agricultural","1980-03-18",0,4.46521822556065
"29",454537,"2019-07-20 21:24:01","fraud_Hirthe-Beier","health_fitness",1.1,"M","Palmdale","CA",171170,"Chemical engineer","1963-06-04",0,0.0953101798043249
"30",47346,"2019-01-28 19:56:20","fraud_Bahringer, Schoen and Corkery","shopping_pos",7.24,"F","Centerview","MO",2368,"Electronics engineer","1989-07-17",0,1.97962120639763
"31",906084,"2019-12-28 11:27:15","fraud_Boehm, Block and Jakubowski","misc_pos",7.03,"M","Turner","MT",192,"Further education lecturer","1964-01-04",0,1.95018670582257
"32",239176,"2019-04-29 19:33:22","fraud_Erdman-Schaden","personal_care",47.29,"F","Dongola","IL",2263,"Scientific laboratory technician","1984-09-13",0,3.85629885665578
"33",1296584,"2020-06-21 11:29:52","fraud_Swaniawski, Lowe and Robel","shopping_pos",23.72,"F","Cisco","IL",478,"Landscape architect","1960-01-13",0,3.16631857412952
"34",102968,"2019-03-01 09:10:04","fraud_Rutherford-Mertz","grocery_pos",72.58,"F","Jelm","WY",100,"Public librarian","1974-04-16",0,4.28468940178492
"35",654807,"2019-10-06 04:45:46","fraud_Wuckert-Walter","grocery_net",51.21,"F","Sun City","CA",54287,"Designer, exhibition/display","1972-09-22",0,3.93593482547446
"36",98141,"2019-02-26 23:57:09","fraud_Lesch Ltd","shopping_pos",2.93,"F","Oolitic","IN",1228,"Counsellor","1991-03-13",0,1.07500242302898
"37",97119,"2019-02-26 15:17:33","fraud_Runte, Green and Emard","health_fitness",82.59,"F","New York City","NY",1577385,"Audiological scientist","1957-12-29",0,4.41388860782263
"38",273525,"2019-05-15 12:08:39","fraud_Macejkovic-Lesch","shopping_pos",401.22,"F","Joliet","IL",128354,"Teacher, secondary school","1992-01-20",0,5.99450990529394
"39",396319,"2019-06-30 02:33:46","fraud_Kilback LLC","food_dining",66.22,"F","Camden","NY",6460,"Building control surveyor","1959-09-27",0,4.1929825321191
"40",1086579,"2020-03-27 20:41:40","fraud_Gutmann, McLaughlin and Wiza","home",78.92,"M","Fenelton","PA",2054,"Communications engineer","1976-09-29",0,4.36843468115441
"41",396891,"2019-06-30 06:56:09","fraud_Auer-Mosciski","grocery_pos",112.5,"F","Orient","WA",149,"Special educational needs teacher","1978-06-21",0,4.72295322164447
"42",94741,"2019-02-25 15:04:35","fraud_Collier LLC","home",15.33,"F","Thompson","UT",46,"Surveyor, minerals","1987-04-23",0,2.72981169288372
"43",794543,"2019-12-02 18:37:44","fraud_Feil, Hilpert and Koss","food_dining",7.75,"F","Clayton","OK",1760,"Occupational psychologist","1972-01-20",0,2.04769284336526
"44",1076252,"2020-03-23 06:39:46","fraud_Kris-Padberg","shopping_pos",474.74,"F","Gardiner","OR",260,"Engineer, maintenance","1956-09-01",0,6.16276728575281
"45",799407,"2019-12-04 01:36:01","fraud_Kiehn-Emmerich","grocery_pos",127.19,"F","Naples","FL",276002,"Pilot, airline","1934-06-23",0,4.84568203146339
"46",503616,"2019-08-06 15:17:36","fraud_Sporer-Keebler","personal_care",70.49,"M","Montandon","PA",645,"Orthoptist","1974-05-18",0,4.25547085578578
"47",25255,"2019-01-15 13:58:18","fraud_Romaguera, Cruickshank and Greenholt","shopping_net",481.54,"F","Colorado Springs","CO",525713,"Museum/gallery exhibitions officer","1992-05-09",0,6.17698930151568
"48",806750,"2019-12-06 04:28:48","fraud_Runolfsson and Sons","grocery_net",38.42,"F","Burlington","WA",14871,"Public house manager","1974-03-10",0,3.64857815734041
"49",792553,"2019-12-02 12:19:04","fraud_Hermann-Gaylord","misc_pos",94.07,"M","Espanola","NM",18408,"Historic buildings inspector/conservation officer","1972-07-18",0,4.54403918598386
"50",1155871,"2020-04-27 08:01:12","fraud_Cummerata-Jones","gas_transport",80.02,"F","Burbank","WA",3684,"Musician","1981-11-29",0,4.38227660342909
"51",847211,"2019-12-15 01:56:10","fraud_McDermott-Weimann","grocery_pos",191.6,"F","Jay","FL",5719,"Higher education careers adviser","1994-11-05",0,5.25540986553676
"52",154871,"2019-03-24 04:54:03","fraud_Rodriguez Group","gas_transport",88.25,"M","Belgrade","MT",18182,"Engineer, drilling","1975-06-29",0,4.48017369581341
"53",531366,"2019-08-17 02:25:49","fraud_Trantow PLC","grocery_net",77.98,"F","Hinesburg","VT",4542,"Claims inspector/assessor","1998-03-19",0,4.35645238355445
"54",17158,"2019-01-11 06:33:58","fraud_Halvorson Group","misc_pos",314.47,"F","North Prairie","WI",2328,"Applications developer","1942-01-06",0,5.75088868208347
"55",113458,"2019-03-05 07:00:15","fraud_Tillman, Fritsch and Schmitt","misc_net",7.1,"F","Red River","NM",606,"Surveyor, land/geomatics","1988-09-06",0,1.96009478404727
"56",965401,"2020-01-25 04:35:48","fraud_Emard Inc","gas_transport",70.21,"M","Afton","MI",937,"Technical brewer","1958-04-06",0,4.25149075102916
"57",2694,"2019-01-02 07:37:24","fraud_Cole PLC","grocery_pos",108.5,"M","June Lake","CA",633,"Health service manager","1927-09-09",0,4.68675017298051
"58",1060538,"2020-03-16 10:15:28","fraud_Padberg-Welch","grocery_pos",50.58,"M","Aledo","TX",13602,"Optometrist","1984-07-05",0,3.92355624124182
"59",1248812,"2020-06-04 01:08:43","fraud_Pacocha-O'Reilly","grocery_pos",35.59,"M","San Diego","CA",1241364,"Comptroller","1987-11-30",0,3.5720646995221
"60",571022,"2019-08-31 04:05:36","fraud_Corwin-Collins","gas_transport",39.43,"F","Hannawa Falls","NY",69,"Chief Executive Officer","1991-06-05",0,3.67452694788954
"61",623459,"2019-09-22 09:48:58","fraud_Wiza LLC","misc_pos",36.44,"M","Mc Intosh","SD",295,"Designer, industrial/product","1981-01-26",0,3.59566707239176
"62",817624,"2019-12-08 11:41:21","fraud_Jast-McDermott","shopping_pos",1.4,"F","Cressona","PA",1606,"Ecologist","1966-05-10",0,0.336472236621213
"63",50350,"2019-01-30 04:20:47","fraud_Bernhard Inc","gas_transport",62.58,"M","Greenview","CA",308,"Call centre manager","1958-09-20",0,4.13644573824074
"64",1221930,"2020-05-25 18:20:35","fraud_Baumbach, Strosin and Nicolas","shopping_pos",3.88,"F","Birmingham","IA",888,"Camera operator","1988-03-25",0,1.35583515363518
"65",503757,"2019-08-06 16:48:08","fraud_Erdman-Schaden","personal_care",39.43,"F","Conway","WA",85,"Research officer, political party","1984-09-01",0,3.67452694788954
"66",727707,"2019-11-07 05:18:28","fraud_Raynor, Feest and Miller","gas_transport",32.08,"F","Stanchfield","MN",2607,"Lecturer, further education","1995-12-04",0,3.46823278299831
"67",404229,"2019-07-02 07:03:31","fraud_Romaguera, Cruickshank and Greenholt","shopping_net",107.38,"M","Carroll","NE",566,"Metallurgist","1975-01-26",0,4.67637394499442
"68",217716,"2019-04-21 00:27:25","fraud_Bins, Balistreri and Beatty","shopping_pos",144.04,"M","Ravenna","NE",2202,"Solicitor, Scotland","1974-06-21",0,4.97009103878067
"69",1160577,"2020-04-28 19:05:06","fraud_Rau-Robel","kids_pets",21.3,"F","Philadelphia","PA",1526206,"Structural engineer","1985-01-01",0,3.05870707271538
"70",742265,"2019-11-13 14:10:16","fraud_Roob, Conn and Tremblay","shopping_pos",5.81,"F","Tomahawk","WI",9594,"Seismic interpreter","1997-11-23",0,1.75958057086382
"71",418139,"2019-07-07 16:09:45","fraud_Kassulke Inc","entertainment",169.73,"M","Bessemer","AL",71463,"Radio broadcast assistant","1989-02-08",0,5.13420893917344
"72",302705,"2019-05-27 08:39:30","fraud_Pacocha-O'Reilly","grocery_pos",92.96,"F","Utica","MO",271,"Land/geomatics surveyor","1972-04-18",0,4.5321692931036
"73",85636,"2019-02-19 19:14:19","fraud_Jast-McDermott","shopping_pos",1.01,"F","De Witt","AR",5161,"Electrical engineer","1993-04-08",0,0.00995033085316809
"74",892513,"2019-12-24 17:32:00","fraud_Wiza, Schaden and Stark","misc_pos",195.27,"F","Mc Clellandtown","PA",2379,"Sales professional, IT","1971-01-19",0,5.27438321625241
"75",843239,"2019-12-14 09:47:18","fraud_Schaefer, Maggio and Daugherty","gas_transport",87.89,"M","Burbank","OK",471,"Sub","1941-03-30",0,4.47608603257655
"76",322657,"2019-06-03 10:46:15","fraud_Miller-Hauck","grocery_pos",103.84,"F","Logan","IL",324,"Scientist, research (physical sciences)","1976-06-15",0,4.64285125295578
"77",263341,"2019-05-11 09:23:38","fraud_Cummings Group","grocery_net",68.53,"F","Moravian Falls","NC",3495,"Psychologist, counselling","1988-03-09",0,4.22727160559773
"78",47619,"2019-01-28 22:10:30","fraud_Hermann and Sons","shopping_pos",30.55,"F","New Ellenton","SC",2206,"Biomedical scientist","1986-12-31",0,3.4193646856176
"79",621470,"2019-09-21 17:00:25","fraud_Lind-Buckridge","entertainment",160.38,"F","Fenelton","PA",2054,"Operations geologist","1963-08-04",0,5.07754599937888
"80",26567,"2019-01-16 01:37:58","fraud_Stanton, Jakubowski and Baumbach","shopping_net",154.09,"F","Fulton","SD",355,"Financial adviser","1955-06-26",0,5.03753684729376
"81",589158,"2019-09-07 12:01:10","fraud_White and Sons","home",33.55,"F","Cape Coral","FL",156391,"Higher education careers adviser","1968-02-09",0,3.51303686341769
"82",1282470,"2020-06-15 21:57:32","fraud_O'Connell-Ullrich","home",85.42,"M","Monmouth Beach","NJ",3279,"Health promotion specialist","1978-10-05",0,4.44758026541332
"83",17438,"2019-01-11 12:11:36","fraud_Kihn-Fritsch","food_dining",124.28,"M","Mooresville","NC",69793,"Control and instrumentation engineer","1953-12-08",0,4.82253708452485
"84",913850,"2019-12-29 17:44:10","fraud_Dare-Gibson","health_fitness",106.7,"M","Monetta","SC",1514,"Chief Strategy Officer","1966-12-15",0,4.67002115830771
"85",540934,"2019-08-19 17:30:19","fraud_Ratke and Sons","health_fitness",12.25,"F","Brunson","SC",1725,"Social researcher","1974-12-05",0,2.50552593699074
"86",691012,"2019-10-21 15:49:01","fraud_Heathcote LLC","shopping_net",7.5,"F","Bowersville","OH",338,"Quantity surveyor","1988-07-28",0,2.01490302054226
"87",556267,"2019-08-25 15:03:23","fraud_Pfeffer and Sons","shopping_pos",8.34,"M","Moriarty","NM",7268,"Therapist, art","1988-08-04",0,2.12106321637066
"88",684388,"2019-10-19 11:30:49","fraud_Berge LLC","gas_transport",49.85,"M","Ruckersville","VA",9815,"Designer, ceramics/pottery","1975-07-07",0,3.90901849640785
"89",489329,"2019-08-02 05:08:57","fraud_Tillman, Dickinson and Labadie","gas_transport",90.26,"F","Winger","MN",516,"Applications developer","1966-06-07",0,4.50269439439885
"90",126292,"2019-03-11 02:46:02","fraud_Lind, Huel and McClure","gas_transport",75.75,"M","Varnell","GA",74,"Pensions consultant","1944-05-14",0,4.32743844438948
"91",516508,"2019-08-11 14:03:34","fraud_Lang, Towne and Schuppe","kids_pets",93.52,"M","Birmingham","AL",493806,"Musician","1980-07-12",0,4.53817531716381
"92",555537,"2019-08-25 11:04:53","fraud_Roob, Conn and Tremblay","shopping_pos",14.22,"F","Grand Bay","AL",15647,"Scientist, physiological","1957-12-26",0,2.65464942437509
"93",819124,"2019-12-08 16:21:41","fraud_Zboncak Ltd","food_dining",49.22,"F","Tyler","TX",144160,"Sports development officer","1984-05-04",0,3.89630004496291
"94",1008421,"2020-02-18 18:06:20","fraud_Little Ltd","kids_pets",72.44,"F","Stanchfield","MN",2607,"Lecturer, further education","1995-12-04",0,4.28275863301521
"95",1076079,"2020-03-23 05:02:04","fraud_Tillman, Dickinson and Labadie","gas_transport",47.42,"F","Smiths Grove","KY",6841,"Therapist, sports","1999-06-06",0,3.85904408063726
"96",907513,"2019-12-28 16:43:56","fraud_Eichmann, Hayes and Treutel","travel",5.34,"F","University","MS",4198,"Curator","2001-06-22",0,1.6752256529721
"97",225488,"2019-04-24 00:29:12","fraud_Koepp-Parker","grocery_pos",98.48,"M","Manderson","SD",1126,"Volunteer coordinator","1980-08-18",0,4.5898534818762
"98",1091576,"2020-03-30 01:20:59","fraud_Stroman, Hudson and Erdman","gas_transport",65.26,"F","Grimesland","NC",5903,"Manufacturing systems engineer","1993-10-07",0,4.17837929116517
"99",728972,"2019-11-07 20:49:32","fraud_Mayert Group","shopping_pos",74.16,"F","Chatham","NY",4015,"Human resources officer","1971-10-14",0,4.3062249212576
"100",819508,"2019-12-08 17:33:23","fraud_Williamson LLC","misc_pos",4.81,"F","Redford","MO",241,"Investment analyst","1974-10-27",0,1.57069708411767
"101",288436,"2019-05-21 21:23:22","fraud_Denesik and Sons","shopping_pos",230.01,"M","Denham Springs","LA",71335,"Herbalist","1994-05-31",0,5.43812278623891
"102",1027699,"2020-03-02 01:38:23","fraud_Schmidt and Sons","shopping_net",131.99,"F","Waupaca","WI",15426,"Engineer, civil (contracting)","1936-07-22",0,4.88272616214086
"103",458653,"2019-07-21 22:11:44","fraud_Labadie LLC","personal_care",23.69,"M","Andrews","IN",2304,"Retail banker","1955-07-25",0,3.16505301817069
"104",119917,"2019-03-08 22:41:47","fraud_Ernser-Feest","home",24.54,"F","Wetmore","MI",765,"Immunologist","1972-06-12",0,3.20030443928277
"105",101911,"2019-02-28 19:22:33","fraud_Baumbach, Hodkiewicz and Walsh","shopping_pos",3.92,"F","Houston","TX",2906700,"Animator","1983-08-24",0,1.36609165380237
"106",819351,"2019-12-08 17:04:18","fraud_Heathcote LLC","shopping_net",2.26,"F","University","MS",4198,"Curator","2001-06-22",0,0.815364813284194
"107",631972,"2019-09-26 01:00:08","fraud_Dach-Borer","grocery_net",63.98,"M","Monmouth Beach","NJ",3279,"Health promotion specialist","1978-10-05",0,4.15857053452137
"108",852449,"2019-12-15 21:34:18","fraud_Kub PLC","personal_care",73.76,"M","Athena","OR",1302,"Dealer","1976-10-18",0,4.30081657924834
"109",189213,"2019-04-07 23:46:14","fraud_Abshire PLC","entertainment",243.48,"F","North Wilkesboro","NC",21134,"Dispensing optician","1984-03-06",0,5.49503480362572
"110",357765,"2019-06-16 07:48:35","fraud_Doyle Ltd","grocery_pos",133.04,"F","Hooper","NE",1745,"Engineer, automotive","1973-12-26",0,4.89064983488467
"111",27607,"2019-01-16 22:48:06","fraud_Beier-Hyatt","shopping_pos",5.04,"M","Gretna","LA",55581,"Biomedical scientist","1972-09-12",0,1.61740608208328
"112",1070715,"2020-03-20 21:33:19","fraud_Gaylord-Powlowski","home",35.52,"M","Boonton","NJ",15269,"Psychologist, sport and exercise","1993-07-05",0,3.57009591812397
"113",1195313,"2020-05-14 13:23:59","fraud_Hills-Boyer","personal_care",34.9,"F","Sherman","TX",46563,"Systems developer","1970-09-11",0,3.55248682920838
"114",3359,"2019-01-02 21:11:57","fraud_Ferry, Lynch and Kautzer","misc_net",127.75,"F","Hahira","GA",10295,"Teacher, special educational needs","1997-12-26",0,4.85007522908381
"115",998012,"2020-02-12 22:58:44","fraud_Stark-Batz","entertainment",83.69,"F","Kilgore","TX",24536,"Multimedia programmer","1983-10-14",0,4.42711949604478
"116",308412,"2019-05-29 16:09:57","fraud_Little Ltd","kids_pets",47.65,"M","Manderson","SD",1126,"Volunteer coordinator","1980-08-18",0,3.86388263010021
"117",99887,"2019-02-28 13:47:45","fraud_Conroy-Emard","food_dining",49.89,"M","Cross Plains","TX",1897,"Chief Operating Officer","1953-04-19",0,3.90982058187295
"118",654096,"2019-10-05 22:33:41","fraud_Haag-Blanda","food_dining",20.58,"F","Stephensport","KY",344,"Chartered public finance accountant","1967-03-30",0,3.0243197304059
"119",1005979,"2020-02-17 09:34:18","fraud_Parisian and Sons","gas_transport",77.26,"F","Sunflower","MS",1686,"Education officer, community","1986-11-06",0,4.34717635723814
"120",520504,"2019-08-12 14:13:13","fraud_Dietrich-Fadel","health_fitness",55.94,"F","Ruidoso","NM",8874,"Licensed conveyancer","2000-08-16",0,4.02427968777381
"121",978231,"2020-02-01 15:09:33","fraud_Hirthe-Beier","health_fitness",76.57,"M","Kissee Mills","MO",1201,"Engineer, agricultural","1980-03-18",0,4.33820535512503
"122",27656,"2019-01-16 23:24:36","fraud_Haley, Batz and Auer","health_fitness",38.91,"F","North Washington","PA",139,"Patent attorney","1954-05-25",0,3.66125128699646
"123",395412,"2019-06-29 20:30:53","fraud_Torphy-Goyette","shopping_pos",90.35,"F","Topeka","KS",163415,"Secondary school teacher","2004-12-30",0,4.50369101703824
"124",702938,"2019-10-27 09:08:50","fraud_Ortiz Group","grocery_net",23.59,"F","Houston","TX",2906700,"Animator","1983-08-24",0,3.16082289341958
"125",1072929,"2020-03-22 01:30:13","fraud_Gislason Group","misc_pos",2.9,"F","Harwood","MD",3289,"Quantity surveyor","1933-03-15",0,1.06471073699243
"126",504032,"2019-08-06 19:46:47","fraud_McKenzie-Huels","food_dining",36.28,"F","Burlington","WA",14871,"Public house manager","1974-03-10",0,3.59126662524694
"127",824775,"2019-12-09 13:49:48","fraud_Bednar PLC","kids_pets",23.24,"M","Zavalla","TX",2836,"Designer, jewellery","1985-12-03",0,3.14587493198371
"128",1074408,"2020-03-22 15:58:09","fraud_Berge-Ullrich","home",44.99,"M","Cardwell","MO",1120,"Television floor manager","1957-04-17",0,3.80644024285308
"129",235254,"2019-04-28 14:58:38","fraud_Hermiston, Russel and Price","food_dining",164.77,"F","Cascade Locks","OR",1288,"Barrister","1936-05-01",0,5.10455056206934
"130",778030,"2019-11-29 19:53:41","fraud_Metz, Russel and Metz","kids_pets",134.71,"F","Des Moines","IA",222785,"Wellsite geologist","1956-01-24",0,4.90312431971048
"131",23802,"2019-01-14 21:18:49","fraud_Kuhic, Bins and Pfeffer","shopping_net",5.49,"F","Kirtland Afb","NM",310,"Surveyor, land/geomatics","1978-09-30",0,1.70292825552144
"132",455009,"2019-07-21 00:07:24","fraud_Kerluke, Kertzmann and Wiza","misc_net",13.62,"F","Brunson","SC",1725,"Social researcher","1974-12-05",0,2.61153930072137
"133",304200,"2019-05-27 17:55:11","fraud_Bernier and Sons","kids_pets",61.25,"M","Mesa","ID",129,"Cartographer","1965-12-15",0,4.11496384942484
"134",626330,"2019-09-23 06:28:32","fraud_Torphy-Goyette","shopping_pos",8.86,"M","Wales","AK",145,"Administrator, education","1939-11-09",0,2.18154676461699
"135",1279142,"2020-06-15 03:09:31","fraud_Pacocha-Bauch","shopping_pos",144.81,"M","Harper","TX",2395,"Pharmacist, community","1993-11-17",0,4.97542253834051
"136",682413,"2019-10-18 13:59:03","fraud_Fritsch LLC","travel",8.57,"F","Deltona","FL",88735,"Commercial horticulturist","1988-04-09",0,2.14826773260969
"137",1257194,"2020-06-07 14:27:15","fraud_Schuppe-Schuppe","food_dining",30.89,"M","Amsterdam","OH",2208,"Mental health nurse","1961-09-10",0,3.43043250693049
"138",341545,"2019-06-10 05:07:51","fraud_VonRueden Group","grocery_net",82.41,"F","Colorado Springs","CO",525713,"Museum/gallery exhibitions officer","1992-05-09",0,4.41170678877529
"139",9272,"2019-01-06 20:07:35","fraud_Berge, Kautzer and Harris","personal_care",51.25,"M","Ashfield","MA",1506,"Production assistant, radio","1960-04-03",0,3.93671561801852
"140",958994,"2020-01-20 16:04:36","fraud_Pollich LLC","home",171.94,"F","Cleveland","TX",34153,"Building surveyor","1995-09-11",0,5.1471455787463
"141",868111,"2019-12-19 17:26:09","fraud_Wuckert-Goldner","home",151.59,"M","North Augusta","SC",46944,"Secondary school teacher","1942-04-02",0,5.02117950797193
"142",885583,"2019-12-23 04:59:07","fraud_Tromp, Kerluke and Glover","grocery_net",53.4,"F","Burlington","WA",14871,"Public house manager","1974-03-10",0,3.97781074596615
"143",1042895,"2020-03-08 20:23:28","fraud_Jacobi Inc","health_fitness",48.88,"F","Bagley","WI",878,"Risk analyst","1974-11-20",0,3.88936831486334
"144",335311,"2019-06-08 14:02:24","fraud_Feil-Morar","health_fitness",35.34,"M","Rock Tavern","NY",2258,"Building surveyor","1937-03-17",0,3.56501546689155
"145",1254424,"2020-06-06 14:46:02","fraud_Runte, Green and Emard","health_fitness",73.59,"M","Saint Bonaventure","NY",1453,"Toxicologist","1974-02-15",0,4.29850914693851
"146",469025,"2019-07-25 23:32:38","fraud_Hyatt, Russel and Gleichner","health_fitness",27.48,"M","Palmyra","NY",9565,"Exhibition designer","1927-12-11",0,3.31345846735415
"147",607581,"2019-09-15 10:55:53","fraud_Huels-Hahn","gas_transport",62.84,"M","Tekoa","WA",895,"Clothing/textile technologist","1999-05-31",0,4.14059181338742
"148",383022,"2019-06-24 17:38:31","fraud_Fadel-Hilpert","health_fitness",2.75,"M","North Judson","IN",5791,"Doctor, general practice","1959-10-07",0,1.01160091167848
"149",1101109,"2020-04-03 02:44:50","fraud_Predovic Inc","shopping_net",87.82,"M","Utica","KS",269,"Product/process development scientist","1962-11-11",0,4.47528926513357
"150",704227,"2019-10-27 18:09:39","fraud_Willms, Kris and Bergnaum","shopping_pos",4.09,"M","Fayetteville","NC",238602,"Scientist, research (maths)","1993-05-14",0,1.40854497005471
"151",277333,"2019-05-17 14:02:24","fraud_Bartoletti and Sons","personal_care",230.99,"F","Elberta","MI",372,"Exhibitions officer, museum/gallery","1995-07-12",0,5.44237441954146
"152",137027,"2019-03-16 12:45:15","fraud_Bahringer, Bergnaum and Quitzon","home",91.26,"F","Fulton","SD",355,"Financial adviser","1955-06-26",0,4.51371257549926
"153",410027,"2019-07-05 00:15:59","fraud_Hills-Witting","shopping_net",4.56,"M","Springfield","VA",104396,"Production engineer","1950-11-20",0,1.51732262352629
"154",15751,"2019-01-10 04:44:54","fraud_Emard Inc","gas_transport",63.54,"M","Elizabeth","NJ",124967,"Operational researcher","1980-12-21",0,4.15166962884137
"155",603441,"2019-09-13 21:09:51","fraud_Bins-Howell","personal_care",34.12,"F","Cranks","KY",581,"Psychologist, counselling","1967-02-04",0,3.52988372262348
"156",1255532,"2020-06-07 00:11:38","fraud_Stokes, Christiansen and Sipes","grocery_net",89.59,"F","Burbank","WA",3684,"Musician","1981-11-29",0,4.49524370660949
"157",717803,"2019-11-02 23:12:14","fraud_Bogisich-Weimann","kids_pets",112.46,"F","Ratcliff","TX",43,"Engineer, production","1949-10-04",0,4.72259760286406
"158",110230,"2019-03-04 02:29:05","fraud_Bradtke PLC","grocery_pos",52.59,"M","Murfreesboro","TN",158701,"Journalist, newspaper","1978-03-06",0,3.96252598760125
"159",1181645,"2020-05-08 18:32:42","fraud_Bednar PLC","kids_pets",72.01,"F","Sherman","TX",46563,"Systems developer","1970-09-11",0,4.27680499826078
"160",51333,"2019-01-31 00:47:59","fraud_Strosin-Cruickshank","grocery_pos",141.39,"F","Karnack","TX",2807,"Chiropodist","1931-01-26",0,4.95152202960375
"161",302616,"2019-05-27 08:00:54","fraud_Kerluke Inc","misc_net",7.62,"F","Iselin","NJ",18459,"Emergency planning/management officer","1929-03-19",0,2.03077636969855
"162",996344,"2020-02-11 15:50:59","fraud_Bahringer, Schoen and Corkery","shopping_pos",6.91,"F","Stanchfield","MN",2607,"Lecturer, further education","1995-12-04",0,1.93296963777958
